HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,ECRS_Turbine_MW,ECRS_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,Total_ECRS_MW,EnergyPrice_LMP_USDperMWh,p_RegU_ERCOT,deploy_factor_RegU_ERCOT,loc_RegU_ERCOT,p_RegD_ERCOT,deploy_factor_RegD_ERCOT,loc_RegD_ERCOT,p_Spin_ERCOT,deploy_factor_Spin_ERCOT,loc_Spin_ERCOT,p_NSpin_ERCOT,deploy_factor_NSpin_ERCOT,loc_NSpin_ERCOT,p_ECRS_ERCOT,deploy_factor_ECRS_ERCOT,loc_ECRS_ERCOT,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
24,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2901,2.0,0.6588,-0.2522,5.3436,0.7097,-0.2759,7.1377,0.8273,-0.3606,12.473,0.8664,0.4116,5.3296,0.8444,-0.4099,0.0,0.0,3910.238,0.0,-0.887,3909.351,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3149.351
25,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2803,6.0099,0.6361,-0.266,6.8843,0.7201,0.2557,10.0323,0.8889,0.2229,7.2592,0.8244,-0.1713,8.8262,0.8909,-0.0369,0.0,0.0,4666.514,0.0,0.0044,4666.5184,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3906.5184
26,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.486,15.449,0.6831,-0.3295,7.257,0.6731,0.252,8.187,0.8803,0.0793,14.774,0.8484,-0.1911,11.0028,0.9041,0.1518,0.0,0.0,5124.68,0.0,-0.0375,5124.6425,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4364.6425
27,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5874,2.5523,0.6478,0.3986,3.786,0.6881,0.2163,4.7689,0.9008,-0.3814,4.9814,0.8506,-0.0156,4.7274,0.9182,0.0595,0.0,0.0,2123.212,0.0,0.2774,2123.4894,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1363.4894
28,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222,8.2941,0.693,0.4246,10.8839,0.7595,-0.1119,7.322,0.9214,0.169,3.0,0.9341,-0.2474,9.211,0.9019,0.026,0.0,0.0,4644.36,0.0,0.2603,4644.6203,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3884.6203
29,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9998,2.0,0.6544,0.4209,5.3376,0.7172,0.1236,13.574,0.8524,0.0184,10.9099,0.8717,0.1094,9.4869,0.9315,-0.04,0.0,0.0,2659.924,0.0,0.6323,2660.5563,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1900.5563
30,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8855,11.7773,0.6527,0.4544,9.5573,0.7233,0.3146,3.0,0.8293,0.1479,3.2834,0.8886,0.065,7.169,0.9592,0.1604,0.0,0.0,3376.49,0.0,1.1423,3377.6323,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2617.6323
31,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3347,2.0,0.6552,-0.1583,6.404,0.705,-0.5721,6.7827,0.8509,-0.0609,4.8882,0.9141,0.3234,3.6854,0.9644,-0.1906,0.0,0.0,3167.186,0.0,-0.6585,3166.5275,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2406.5275
32,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.194,2.0,0.6886,-0.4532,8.6039,0.7335,0.1269,11.2066,0.7895,-0.1747,3.0,0.9167,0.1789,5.8546,0.9378,0.5835,0.0,0.0,8433.72,0.0,0.2614,8433.9814,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7673.9814
33,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9365,7.5371,0.7536,0.4258,4.1417,0.7319,0.2264,3.672,0.7773,0.494,4.4033,0.9224,-0.0016,3.0,0.9324,0.4694,0.0,0.0,5675.87,0.0,1.614,5677.484,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4917.484
