Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A3566,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A3576,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3601,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3606,0.868647533295817,0.9857170748895978,0.76,0.76,9.81,0.76,0.76
A3607,1.2014634146341465,1.9496244853351177,0.76,0.76,9.81,0.76,0.76
A3608,1.3133145040704437,2.168437348492601,0.76,0.76,9.81,0.76,0.76
A3609,1.2303381071903146,2.008964365359399,0.76,0.76,9.81,0.76,0.76
A3610,1.3201076353851329,2.1808377774280348,0.76,0.76,9.81,0.76,0.76
A3611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3615,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3624,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3625,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3626,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3627,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3628,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3629,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3630,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3635,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3636,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3637,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3639,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3644,7.0,0.0,7.0,7.0,7.0,7.0,7.0
A3645,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3646,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3647,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3651,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3652,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3653,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3654,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3655,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3656,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3657,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3666,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3667,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3668,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3669,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3670,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3671,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3674,0.28,0.0,0.28,0.28,0.28,0.28,0.28
A3675,0.28,0.0,0.28,0.28,0.28,0.28,0.28
A3676,0.28,0.0,0.28,0.28,0.28,0.28,0.28
A3681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3695,10.5,0.0,10.5,10.5,10.5,10.5,10.5
A3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3721,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3730,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A3731,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A3736,0.31,0.0,0.31,0.31,0.31,0.31,0.31
A3737,0.31,0.0,0.31,0.31,0.31,0.31,0.31
A3738,0.31,0.0,0.31,0.31,0.31,0.31,0.31
A3739,0.31,0.0,0.31,0.31,0.31,0.31,0.31
A3740,0.31,0.0,0.31,0.31,0.31,0.31,0.31
A3741,0.31,0.0,0.31,0.31,0.31,0.31,0.31
A3742,0.30999999999999994,0.0,0.31,0.31,0.31,0.31,0.31
A3743,0.31,0.0,0.31,0.31,0.31,0.31,0.31
A3747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3763,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3764,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3787,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3788,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3789,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3790,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3797,1.2166666666666666,0.6837740179143286,1.7,0.25,1.7,0.25,1.7
A3798,1.2166666666666666,0.6837740179143286,1.7,0.25,1.7,0.25,1.7
A3799,1.2164461678832117,0.6836534600581212,1.7,0.25,1.7,0.25,1.7
A3802,1.5,0.0,1.5,1.5,1.5,1.5,1.5
A3803,0.25,0.0,0.25,0.25,0.25,0.25,0.25
A3804,0.25,0.0,0.25,0.25,0.25,0.25,0.25
A3805,7.92,0.0,7.92,7.92,7.92,7.92,7.92
A3806,7.919999999999999,0.0,7.92,7.92,7.92,7.92,7.92
A3822,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3830,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3840,16.20733576642336,17.56498606095348,12.91,7.19,235.22,10.82,16.89
A3852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3854,16.07807481751825,16.462025550959318,8.48,5.23,92.72,7.52,12.82
A3855,9.770866788321168,6.459077528206962,8.76,2.87,90.43,7.24,9.77
A3864,0.5461678832116789,0.3168827077854379,0.73,0.0,0.73,0.0,0.73
A3865,0.9501824817518248,0.5512890943664472,1.27,0.0,1.27,0.0,1.27
A3867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3924,0.022445255474452554,0.013022577032278266,0.03,0.0,0.03,0.0,0.03
A3925,0.11222627737226278,0.06511288516139159,0.15,0.0,0.15,0.0,0.15
A3926,0.07481751824817519,0.04340859010759423,0.1,0.0,0.1,0.0,0.1
A3927,0.17051094890510948,0.12154405230126382,0.1,0.1,0.38,0.1,0.38
A3928,0.15215328467153286,0.08247632120442888,0.2,0.01,0.2,0.01,0.2
A3929,0.44645985401459853,0.2474289636132869,0.59,0.02,0.59,0.02,0.59
A3936,13.232892335766424,18.216044072355178,5.57,5.57,80.0,5.57,8.11
A3938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3942,20.0,0.0,20.0,20.0,20.0,20.0,20.0
A3943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3957,38.566697080291966,20.314819310124165,50.0,1.72,50.0,50.0,50.0
A3958,46.889535812043796,11.852558421882947,50.0,1.73,50.0,50.0,50.0
A3959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3969,0.2755474452554745,0.13022577032278282,0.2,0.2,0.5,0.2,0.5
A3970,1.0688321167883212,0.9115803922594803,0.54,0.54,2.64,0.54,2.64
A3971,0.32777372262773724,0.06511288516139199,0.29,0.29,0.44,0.29,0.44
A3972,0.3836131386861314,0.26479239965632523,0.23,0.23,0.84,0.23,0.84
A3974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3991,20.0,0.0,20.0,20.0,20.0,20.0,20.0
A3997,59.1353110931548,8.20819765499999,56.56,49.66,76.57,56.56,57.52
A3998,61.43601990618922,7.276655338127666,55.89,55.1,75.69,55.89,63.81
A4001,14.225021604577835,4.502628981992051,13.03,7.26,21.65,9.49,19.19
A4004,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A4008,10.430000000000001,0.0,10.43,10.43,10.43,10.43,10.43
A4011,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4012,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4013,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4015,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A4016,2.06,0.0,2.06,2.06,2.06,2.06,2.06
A4021,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4022,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4024,3.015530096165262,0.5646466909069786,2.79,1.54,6.23,2.68,3.26
A4030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4032,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A4033,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A4034,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A4035,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A4036,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A4053,9.929522787526828,0.5460416091344806,9.99,5.0,9.99,9.99,9.99
A4054,9.925001356852102,0.5658284606879336,9.99,5.0,9.99,9.99,9.99
A4055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4075,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4076,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4077,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4078,5.1,0.0,5.1,5.1,5.1,5.1,5.1
A4079,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4083,5.5,0.0,5.5,5.5,5.5,5.5,5.5
A4084,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4086,21.0,0.0,21.0,21.0,21.0,21.0,21.0
A4087,21.0,0.0,21.0,21.0,21.0,21.0,21.0
A4092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4094,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4095,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4096,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4097,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4100,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4101,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4103,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4104,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4116,1.9199999999999997,0.0,1.92,1.92,1.92,1.92,1.92
A4117,1.9199999999999997,0.0,1.92,1.92,1.92,1.92,1.92
A4118,1.9199999999999997,0.0,1.92,1.92,1.92,1.92,1.92
A4119,1.9199999999999997,0.0,1.92,1.92,1.92,1.92,1.92
A4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4144,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A4154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4156,2.5356042793322358,0.3010409422535449,2.4,2.17,3.88,2.35,2.6575
A4157,2.4057009013282733,0.2311877141700023,2.29,1.7,3.0,2.26,2.54
A4158,1.9662967726847522,0.5810196959856456,1.75,0.6,3.67,1.6,2.09
A4173,3.2480497575374234,0.598934816517089,3.25,1.0,14.14,2.84,3.58
A4174,3.2568407803650095,0.5584688509116564,3.23,1.0,14.02,2.88,3.59
A4175,3.0011470783532537,0.45802345419257856,2.9,1.0,13.76,2.61,3.31
A4176,3.1779293318932265,0.9126167109223009,2.93,1.0,13.72,2.7,3.49
A4181,4.677138439581351,0.8517095055354668,4.62,3.25,8.49,3.96,5.23
A4182,4.7566746471774195,0.7666136096217843,4.79,3.27,7.7,4.24,5.27
A4183,4.660739899593593,0.7731637150742446,4.62,3.29,7.76,4.0,5.2
A4184,4.670675547098002,0.7776184284289028,4.63,3.29,7.79,4.01,5.21
A4185,2.9024902123620833,0.8425280926508358,2.72,1.95,6.56,2.47,2.96
A4195,3.8340932203389833,0.9630031998613258,4.08,1.0,7.68,3.99,4.24
A4196,3.299671104150353,0.8708597814680019,3.63,1.0,3.87,3.49,3.76
A4197,7.831959047342434,1.02382494932627,8.12,5.0,11.57,7.44,8.39
A4198,7.704533927347499,0.8870818910640147,8.12,5.0,8.4,7.46,8.38
A4202,3.3283631291999494,1.1842323077682428,3.04,1.0,8.86,2.77,3.6
A4203,3.277307230362719,0.9980511597558817,3.05,1.0,8.86,2.78,3.6
A4204,3.307449115782449,1.1238551841989903,2.94,1.0,7.4,2.64,3.6
A4205,3.275695356332816,1.0230965025372663,3.05,1.0,8.84,2.78,3.59
A4220,50.0,0.0,50.0,50.0,50.0,50.0,50.0
A4221,50.0,0.0,50.0,50.0,50.0,50.0,50.0
A4222,50.0,0.0,50.0,50.0,50.0,50.0,50.0
A4229,3.301883948756594,1.0364989031495422,3.16,0.55,11.67,2.62,4.14
A4230,3.442671041438814,1.0721471110003038,3.37,0.55,12.77,2.79,4.19
A4236,3.3738857208029196,0.9590562089108079,3.31,1.15,10.94,2.79,3.72
A4240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4260,4.462148183404728,1.0202746434560892,4.71,1.0,9.99,4.39,4.89
A4261,3.105503162737205,0.32496174389748994,2.93,2.71,3.79,2.9,3.35
A4262,3.432792931688805,0.7104873884019733,3.27,2.0,8.24,2.83,3.75
A4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4268,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4368,0.29927007299270075,0.17363436043037692,0.4,0.0,0.4,0.0,0.4
A4373,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4374,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4377,100.0,0.0,100.0,100.0,100.0,100.0,100.0
A4386,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4387,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4390,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A4430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4431,0.6173722627737226,0.5643116713987264,0.29,0.29,1.59,0.29,1.59
A4432,0.5454744525547446,0.1128623342797448,0.48,0.48,0.74,0.48,0.74
