,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13537,18.896875,9.991560450797236,24.55,0.4,28.0,604.7,26.986206896551725,7.257076296643209,29.1,1.3,42.1,2347.8,26.986206896551725,7.257076296643209,29.1,1.3,42.1,2347.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,30.26982408349121,9.653931037251134,29.1,0.8,92.4,44738.799995400004
A13538,19.916176470588233,7.493133379901251,24.0,1.7,26.0,1354.3,24.118289085545722,8.13797559398241,29.1,0.6,48.0,8176.1,24.118289085545722,8.13797559398241,29.1,0.6,48.0,8176.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,30.354400503954082,14.538544344557877,29.1,0.1,101.099999,47595.6999902
A13618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.249171270165746,6.403615460859436,10.4,0.6,15.0,1493.0999999
A13646,45.35742128935532,25.612948603136818,43.0,0.1,80.0,90760.2,25.553846153846155,22.156968972277355,20.0,1.0,80.0,1661.0,2.3230769230769233,4.937413582495939,0.0,0.0,15.0,151.0,23.23076923076923,20.531644197714378,15.0,1.0,70.0,1510.0,,,,,,,36.26596637813025,26.9963361446296,38.150000000000006,0.1,150.0,17262.59999599
A13647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1881043266767,139.27197726095622,105.4,0.4,450.0,817481.79879557
A13741,,,,,,,38.0,18.44515393548408,50.0,0.9,50.0,2090.0,38.0,18.44515393548408,50.0,0.9,50.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,56.61886790528302,34.81321066522238,76.7,0.9,116.7,3000.79999898
A13742,,,,,,,3.402709954386906,1.9641788509785516,3.0,0.1,8.5,12681.9,3.402709954386906,1.9641788509785516,3.0,0.1,8.5,12681.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.4198003327703828,1.9736029315622114,2.8,0.1,8.5,12331.79999997
A13969,2.4503706090879795,0.2820306499155638,2.5,0.1,2.5,7603.5,4.459764705882353,1.2117912803431274,5.0,0.1,5.0,3790.8,4.459764705882353,1.2117912803431274,5.0,0.1,5.0,3790.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A13986,10.826022304832714,4.126524071170359,10.2,0.1,15.0,2912.2,4.092499999999999,0.6291998133051939,4.5,0.4,4.5,327.4,4.092499999999999,0.6291998133051939,4.5,0.4,4.5,327.4,0.0,0.0,0.0,0.0,0.0,0.0,20.181859410430842,8.922668764335901,23.05,0.1,34.9,17800.4,11.975849052679246,5.641172182633126,9.4,0.1,28.5,3173.59999896
A14556,0.9122931442080379,0.3155012004032647,0.9,0.2,6.9,771.8000000000001,10.252747252747254,5.238115451176455,13.8,0.1,13.8,933.0,10.252747252747254,5.238115451176455,13.8,0.1,13.8,933.0,0.0,0.0,0.0,0.0,0.0,0.0,15.251482479784366,3.174096257850975,16.9,2.9,18.0,39608.1,8.283916081258742,7.239537511056707,6.1,0.1,18.0,5922.9999981
