,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3736,13.075429975429975,5.396992023877632,15.0,0.4,19.0,5321.7,5.025,2.9837057495671386,5.55,1.5,7.5,20.1,5.025,2.9837057495671386,5.55,1.5,7.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.434545453181817,5.0913111834382665,15.0,0.4,19.0,2955.5999997
A3737,13.012271540469973,5.443587976895242,15.0,0.4,20.0,4983.7,3.5,2.8554042329122744,2.6,1.3,7.5,14.0,3.5,2.8554042329122744,2.6,1.3,7.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.955555553439154,5.111400829003724,15.0,0.4,19.0,2448.5999996
A3738,12.877932960893855,5.449949417798078,15.0,0.3,19.0,4610.3,5.875,2.7932955446926844,5.0,3.6,9.9,23.5,5.875,2.7932955446926844,5.0,3.6,9.9,23.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.953846152142857,5.035625736216596,15.0,0.3,19.0,2357.59999969
A3739,13.053558052434457,5.171103967243194,15.0,0.5,19.0,3485.3,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.654477608955224,4.659352557605327,15.0,0.6,19.0,1695.6999996
A3740,12.728688524590163,5.393560028605349,15.0,0.4,19.0,4658.7,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.671038249726777,4.974769585925432,15.0,0.4,19.0,2318.7999997
A3741,12.882731958762887,5.317761740914706,15.0,0.4,19.0,4998.5,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.858461536410257,4.775826985594376,15.0,0.4,19.0,2507.3999996000002
A3742,12.238596491228071,5.5162549293666885,15.0,0.1,19.0,3488.0,3.6,,3.6,3.6,3.6,3.6,3.6,,3.6,3.6,3.6,3.6,0.0,,0.0,0.0,0.0,0.0,,,,,,,12.890697670348837,5.217147342949696,15.0,0.6,19.0,2217.1999993
A3743,13.196551724137931,5.5861639288040745,15.0,0.4,19.0,4975.1,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,5.775,3.1784430150625638,4.5,3.6,10.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.205076139086295,5.268870325434543,15.0,0.6,19.0,2601.3999994
A3754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.056241262232874,1.983911642595079,8.0,0.1,8.0,35330.6
A3756,,,,,,,4.0,0.0,4.0,4.0,4.0,144.0,4.0,0.0,4.0,4.0,4.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.552233009708738,1.43647924817094,12.0,2.0,12.0,5949.4
A3757,,,,,,,3.9898550724637682,0.08427009716003851,4.0,3.3,4.0,275.3,3.9898550724637682,0.08427009716003851,4.0,3.3,4.0,275.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.773402061855672,1.3233026603870617,12.0,0.1,12.0,5710.1
A3763,3.9367685589519654,0.4100443173824857,4.0,0.2,4.0,9015.2,7.898951398135819,0.7442653958716383,8.0,0.1,8.0,47456.9,7.898951398135819,0.7442653958716383,8.0,0.1,8.0,47456.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.750044175200568,5.544691134976994,24.0,0.2,24.0,123083.49998746
A3764,3.8709901563404747,0.6024652939200174,4.0,0.3,4.0,6685.2,7.912964641885766,0.7301928122082381,8.0,0.2,8.7,43640.0,7.912964641885766,0.7301928122082381,8.0,0.2,8.7,43640.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,22.471040120688343,4.80019373793924,24.0,0.3,26.0,118175.1999947
A3787,,,,,,,29.62666666666667,2.33780844266735,30.0,10.0,30.0,2666.4,29.62666666666667,2.33780844266735,30.0,10.0,30.0,2666.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,83.54084507042253,20.28396692900151,90.0,4.2,90.0,17794.2
A3788,,,,,,,28.980701754385965,4.687347658343196,30.0,1.9,30.0,1651.9,28.980701754385965,4.687347658343196,30.0,1.9,30.0,1651.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,83.38901098901098,20.574897275842734,90.0,1.9,90.0,15176.8
A3789,,,,,,,28.095744680851062,5.765387762209254,30.0,3.2,30.0,3961.5,28.095744680851062,5.765387762209254,30.0,3.2,30.0,3961.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,83.34573054971537,20.247664649884765,90.0,5.0,90.0,43923.1999997
A3790,,,,,,,28.45740740740741,5.41035352145439,30.0,2.0,30.0,1536.7,28.45740740740741,5.41035352145439,30.0,2.0,30.0,1536.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,81.71965317803469,23.423106906331995,90.0,2.0,90.0,14137.4999998
A3799,9.864347826086957,0.9678272569343179,10.0,1.0,10.0,15881.6,6.764572137246796,7.393802863928664,2.0,2.0,20.0,32727.0,3.0854071930549813,6.693757251174682,0.0,0.0,18.0,14927.2,3.6791649441918146,4.277882302649576,2.0,2.0,20.0,17799.8,21.525,2.1691011963483855,20.0,20.0,25.2,172.2,14.779187136869139,21.108825844267113,2.0,0.9,60.0,66181.1999989
A3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00684357536313,2.254867880066515,9.9,0.1,12.6,19346.699999880002
A3803,4.972022419430173,0.30794323949304414,5.0,0.3,5.0,10645.1,7.644239099047069,2.4956173352278257,10.0,5.0,10.0,26472.0,1.8891134854172682,2.423969200203586,0.0,0.0,5.0,6542.0,5.755125613629801,1.7906253825539482,5.0,5.0,10.0,19930.0,,,,,,,10.169886547682333,5.590834415390982,10.0,5.0,20.0,31374.0999996
A3804,4.94510322922181,0.3904834607100329,5.0,0.1,5.0,9341.3,6.820113390928726,2.402642322582832,5.0,5.0,10.0,25261.7,1.1519168466522678,2.101723531139914,0.0,0.0,5.0,4266.7,5.668196544276458,1.701551574905108,5.0,5.0,10.0,20995.0,,,,,,,7.454155081742353,4.088367856922158,5.0,5.0,20.0,24129.0999996
A3805,,,,,,,8.752830188679246,2.641188226068167,10.0,1.7,10.0,2783.4,5.756918238993711,2.631224649127727,7.0,0.0,7.0,1830.7,2.9959119496855346,0.07290038003196575,3.0,1.7,3.0,952.7,,,,,,,21.31172161098901,10.983293210245835,29.0,3.0,30.0,5818.0999998
A3806,,,,,,,9.040159574468085,2.3701046899102893,10.0,3.0,10.0,3399.1,6.040159574468085,2.3701046899102898,7.0,0.0,7.0,2271.1,3.0,0.0,3.0,3.0,3.0,1128.0,,,,,,,22.914511039747634,10.315475232734613,30.0,3.0,30.0,7263.8999996
A3822,,,,,,,12.608527131782946,1.8263706756738187,13.0,1.2,13.0,1626.5,12.608527131782946,1.8263706756738187,13.0,1.2,13.0,1626.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,35.783653840384616,8.253563329176973,39.0,0.1,39.0,11164.4999982
A3830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.633701657458563,3.738585903111186,23.0,1.0,23.0,3915.7
A3840,4.237579617834395,1.6496839418534737,5.0,0.1,5.0,1995.9,9.426356589147288,1.9691023183039673,10.0,0.3,10.0,7296.0,9.426356589147288,1.9691023183039673,10.0,0.3,10.0,7296.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,26.322190602133713,6.6901396424955335,30.0,0.4,30.0,18504.4999933
A3854,4.872964169381108,0.6264260321177363,5.0,0.6,5.0,4488.0,8.805771144278607,2.839762231111294,10.0,0.1,14.3,8849.8,8.805771144278607,2.839762231111294,10.0,0.1,14.3,8849.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,23.532036774469592,10.797363401864438,30.0,0.4,43.0,33274.2999991
A3855,4.938762511373977,0.43216395076632313,5.0,0.4,5.0,5427.7,9.048264462809916,2.549711113458583,10.0,0.1,10.0,10948.4,9.048264462809916,2.549711113458583,10.0,0.1,10.0,10948.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,25.460181817636364,9.346305294125711,30.0,0.6,50.0,42009.2999991
A3864,18.738709677419354,6.562909792632881,22.5,0.9,23.0,580.9,40.416666666666664,7.898459765464825,45.0,29.6,46.0,242.5,40.416666666666664,7.898459765464825,45.0,29.6,46.0,242.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.41666665,7.89845978956235,45.0,29.6,46.0,242.4999999
A3865,17.111940298507463,7.026950767387716,20.1,0.1,26.5,1146.5,33.925,13.135094757393809,38.15,11.7,46.0,271.4,33.925,13.135094757393809,38.15,11.7,46.0,271.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,33.099999966666665,12.5335549738492,37.8999999,11.6999999,46.0,297.89999969999997
A3924,11.988888888888889,7.692601062781764,10.0,2.4,25.0,107.9,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,24688.0,9.028810408817844,2.349558023473466,10.0,0.1,25.0,24287.49999972
A3925,9.666666666666666,5.67215420570821,12.0,3.2,13.8,29.0,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,23032.0,9.002051621326936,2.3279462530394057,10.0,0.1,13.9,27204.19999965
A3926,12.1,5.704932076720984,15.1,0.4,16.5,205.7,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,13168.0,9.115869256200853,2.2110127614388393,10.0,0.1,10.0,19243.59999984
A3927,11.540909090909091,5.872182938868003,15.25,2.0,17.0,253.9,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,21408.0,9.132349109761181,2.1798321290654763,10.0,0.1,10.0,21031.79999978
A3928,7.166666666666667,2.7897132469126644,8.1,3.0,10.0,64.5,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,22984.0,9.015529939055394,2.2920228203978503,10.0,0.1,10.0,28155.49999967
A3929,9.20625,4.81656430110371,8.3,0.4,16.5,147.3,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,29904.0,9.007264957164224,2.2978547641831857,10.0,0.1,10.8,29507.79999967
A3936,9.335362997658079,1.8933637619484358,10.0,0.2,10.0,3986.2,19.484229390681,2.522897966282807,20.0,0.8,20.0,16308.3,19.484229390681,2.522897966282807,20.0,0.8,20.0,16308.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,47.884788356177246,18.75660254994891,60.0,1.6,60.0,36200.89999727
A3957,15.101013513513513,1.963145802389989,15.5,0.9,15.5,8939.8,30.680257338158427,2.1683658345211057,31.0,2.0,31.0,76301.8,30.680257338158427,2.1683658345211057,31.0,2.0,31.0,76301.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,82.02879484631555,23.863717584503267,93.0,2.0,93.0,178330.59999589
A3958,14.945348837209302,2.43954539800882,15.5,1.7,15.5,2570.6,30.719858781994702,2.325403082133816,31.0,0.7,31.0,69611.2,30.719858781994702,2.325403082133816,31.0,0.7,31.0,69611.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,83.04816285839127,22.79134221293449,93.0,3.0,93.0,167258.9999968
A3969,6.914285714285714,5.504383867268139,4.550000000000001,0.8,16.5,96.8,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,26200.0,8.964538239448052,2.3594236300596885,10.0,0.1,10.0,24849.69999975
A3970,12.58148148148148,8.788460447486639,11.399999999999999,0.1,28.0,1358.8,33.449999999999996,20.10682832906636,36.8,8.3,59.0,401.4,33.449999999999996,20.10682832906636,36.8,8.3,59.0,401.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,24856.0,9.004662623066718,3.136884237379703,10.0,0.1,59.0,23754.29999965
A3971,13.395833333333334,7.2559281217361455,17.3,0.9,23.0,643.0,27.785714285714285,15.722428626162115,38.2,1.0,40.0,194.5,27.785714285714285,15.722428626162115,38.2,1.0,40.0,194.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,25160.0,8.930863737755026,2.5746704437126366,10.0,0.1,40.0,23988.29999961
A3972,11.558333333333334,7.9519763940437205,10.55,1.0,25.5,416.1,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,8.0,8.0,26176.0,8.944591690397564,2.403009155896868,10.0,0.1,20.3999999,24973.29999959
A3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.211475409836066,3.7273657797988005,10.0,2.0,13.0,1123.8
A3991,4.203224137931034,1.044217253314391,4.0,1.3,10.0,24378.7,3.4317907097219824,2.6514524103483326,3.0,3.0,20.0,19873.5,0.4317907097219824,2.6514524103483317,0.0,0.0,17.0,2500.5,3.0,0.0,3.0,3.0,3.0,17373.0,,,,,,,15.707012082513732,21.052307442237673,7.1,0.5,60.0,85791.69999469
A3997,,,,,,,,,,,,,,,,,,,,,,,,,18.094862647163755,6.560416427409465,17.9,0.1,25.5,101439.8,5.971888310459063,0.32318122030202184,6.0,0.4,6.0,12618.6
A3998,,,,,,,,,,,,,,,,,,,,,,,,,18.026562773594815,6.519681377085241,17.4,0.1,25.3,102949.7,5.974224452554744,0.32320400892809825,6.0,0.1,6.0,13095.5
A4001,9.379999999999999,3.7090430032556916,10.3,5.0,13.1,46.9,20.017241379310345,8.64899122794582,25.0,0.2,26.2,580.5,20.017241379310345,8.64899122794582,25.0,0.2,26.2,580.5,0.0,0.0,0.0,0.0,0.0,0.0,37.38477023180155,8.886640956537716,40.0,0.2,43.0,183858.30000000002,15.028998132227754,2.096371867154596,15.0,0.2,43.0,24151.59999849
A4004,11.41122448979592,2.1051148125612342,12.0,0.3,12.0,10064.7,22.52423935091278,4.808266008620782,24.0,0.1,24.0,22208.9,22.52423935091278,4.808266008620782,24.0,0.1,24.0,22208.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,64.93444014922008,17.404170423855348,72.0,0.3,72.0,168180.19998648
A4011,,,,,,,29.985714285714288,0.03779644730092341,30.0,29.9,30.0,209.9,29.985714285714288,0.03779644730092341,30.0,29.9,30.0,209.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,29.71851848888889,21.544141393668927,29.8999999,1.4,90.0,802.3999992
A4012,,,,,,,17.104,5.734797293714923,20.0,1.3,20.0,427.6,17.104,5.734797293714923,20.0,1.3,20.0,427.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,27.509604517514127,17.655055557893206,15.0,1.3,60.0,4869.1999996
A4013,,,,,,,28.502631578947366,4.577130795136782,30.0,1.8,30.0,2166.2,28.502631578947366,4.577130795136782,30.0,1.8,30.0,2166.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,70.7635135057529,29.785933247571304,90.0,0.6,90.0,36655.49999598
A4021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.06201920231798,10.0,1.0,10.0,75.0
A4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.669047613095238,9.011400168108377,30.0,1.2,30.0,6216.5999985
A4024,10.046285714285714,5.825910754963103,10.3,0.4,21.8,1758.1,,,,,,,,,,,,,,,,,,,46.532094874771936,6.652324454200193,50.0,3.0,50.0,280542.0,46.835511098822224,19.28614065991304,60.0,0.1,60.0,105379.89997235
A4032,13.5,4.3817804600413295,13.5,9.5,17.5,81.0,,,,,,,,,,,,,,,,,,,,,,,,,32.125,5.303300858899107,34.0,19.0,34.0,257.0
A4033,18.78813559322034,4.750356964654584,19.0,0.4,25.0,1108.5,32.0,0.0,32.0,32.0,32.0,352.0,32.0,0.0,32.0,32.0,32.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,25.5375,10.999731579797128,23.25,0.4,50.0,2247.3
A4034,13.5,3.2596012026013246,11.5,11.5,19.0,67.5,,,,,,,,,,,,,,,,,,,,,,,,,24.208333333333332,15.95913032028093,21.0,9.0,47.0,581.0
A4035,16.119607843137256,5.01434022012241,15.5,0.6,24.5,822.1,,,,,,,,,,,,,,,,,,,,,,,,,22.947540983606558,8.321830859399812,22.5,3.3,45.0,1399.8
A4053,27.44677137870855,7.661527094836487,30.5,0.5,36.0,15727.0,41.23170731707317,22.734571021072625,57.0,3.0,61.0,1690.5,41.23170731707317,22.734571021072625,57.0,3.0,61.0,1690.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.74241644807198,16.930446720013745,30.5,0.5,68.0,15848.7999983
A4054,27.27116883116883,8.246901244752033,30.5,0.7,36.0,10499.4,42.42,21.338912030997893,56.5,3.5,66.0,1060.5,42.42,21.338912030997893,56.5,3.5,66.0,1060.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.640196074754904,17.130423301255078,33.0,1.3,68.0,16989.1999985
A4075,,,,,,,18.448216340621403,3.2659762824562546,20.0,1.0,20.0,16031.5,18.448216340621403,3.2659762824562546,20.0,1.0,20.0,16031.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,31.379218722796875,7.57715295210418,35.5,2.4,36.0,60248.09994777
A4076,6.569882179675994,4.328022023519668,10.0,0.1,10.0,8921.9,18.74467005076142,3.405712775633317,20.0,0.1,20.0,29541.6,18.74467005076142,3.405712775633317,20.0,0.1,20.0,29541.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,47.914108515240315,17.72745207098603,60.0,0.1,60.0,92713.79997699
A4077,11.138181818181819,6.095918673761769,15.0,0.1,15.0,4900.8,25.9187074829932,7.003495624836141,30.0,1.0,30.0,15240.2,25.9187074829932,7.003495624836141,30.0,1.0,30.0,15240.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,52.8721664115495,27.481627621416276,44.7999999,0.1,90.0,36851.899988850004
A4078,5.653846153846154,2.558845893697451,7.5,1.7,7.5,73.5,10.441176470588236,4.854129533645735,12.7,2.3,15.0,177.5,10.441176470588236,4.854129533645735,12.7,2.3,15.0,177.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,27.826923069230766,14.533810454601262,37.5,2.3,45.0,723.4999998
A4079,7.459999999999999,2.9817691675280718,9.9,3.3,10.0,149.2,17.323333333333334,5.792901919045252,20.0,0.6,20.0,519.7,17.323333333333334,5.792901919045252,20.0,0.6,20.0,519.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.646666656666664,7.420137245674347,24.0,0.6,33.0,649.3999997
A4083,4.729310344827586,0.8944675438996353,5.0,0.5,5.0,1371.5,9.65204326923077,1.3210671608106115,10.0,0.2,10.0,8030.5,9.65204326923077,1.3210671608106115,10.0,0.2,10.0,8030.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,24.78476635448598,6.842482829788254,28.3,0.2,30.0,26519.6999993
A4084,7.91216361679225,5.684297843463226,12.5,0.1,12.5,7350.4,23.847637051039698,3.971940263116135,25.0,2.0,25.0,25230.8,23.847637051039698,3.971940263116135,25.0,2.0,25.0,25230.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,63.70289191887367,18.42158882616718,75.0,4.3,75.0,83705.5999814
A4086,,,,,,,,,,,,,,,,,,,,,,,,,44.07368421052632,13.503988299363217,50.0,0.1,52.0,65317.2,48.51048950879721,6.851342762250342,50.0,0.4,50.0,69369.99999758
A4087,,,,,,,,,,,,,,,,,,,,,,,,,41.325405742821474,12.942251400812808,46.3,0.4,52.0,66203.3,48.47934173487395,6.827968199765152,50.0,2.2,50.0,69228.4999974
A4095,7.323809523809524,5.491714802775999,7.15,0.1,15.0,307.6,,,,,,,,,,,,,,,,,,,,,,,,,4.699999988888889,4.159026304316913,4.4,0.4,12.6999999,42.2999999
A4096,9.303508771929824,5.4990572215439375,9.8,0.7,15.0,530.3,8.8,2.6870057685088793,8.8,6.9,10.7,17.6,8.8,2.6870057685088793,8.8,6.9,10.7,17.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.949999983333334,4.412070199515704,6.75,1.5,14.0,83.3999998
A4097,8.190697674418605,5.278294004401349,8.3,0.4,15.0,352.2,,,,,,,,,,,,,,,,,,,,,,,,,6.181818171818182,4.783893415120822,5.6,0.4,14.1,67.99999989
A4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.462025316455694,4.500015677183407,60.0,20.0,60.0,9395.0
A4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.69139784892473,10.509652253386944,60.0,15.0,60.0,10172.5999999
A4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.64545454545455,17.739298950993728,50.0,0.1,60.0,425.1
A4104,,,,,,,17.06,6.5740398538493805,20.0,5.3,20.0,85.3,17.06,6.5740398538493805,20.0,5.3,20.0,85.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,47.016129032258064,9.728261913205781,40.0,35.0,60.0,2915.0
A4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.409183673469388,1.2141847831223,5.0,1.1,5.0,432.1
A4116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.700000000000003,6.4968453883404065,21.0,13.0,39.0,518.7
A4117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.81249999541667,7.428810693933012,23.0,8.69999999,39.0,595.49999989
A4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.16,3.442818612706745,24.0,21.5,30.0,125.8
A4119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25,6.948792289723034,23.5,8.5,30.0,186.0
A4144,,,,,,,20.0,0.0,20.0,20.0,20.0,100.0,20.0,0.0,20.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,48.55111110888889,18.34156509381868,60.0,5.0,60.0,2184.7999999
A4156,7.790697674418604,4.75829170794011,8.0,0.1,13.7,335.0,,,,,,,,,,,,,,,,,,,32.180561385099686,7.718730013464791,37.0,1.1,37.0,245344.6,27.5647394632798,11.426321360154374,34.0,0.1,37.0,77236.39997611
A4157,9.21764705882353,3.6680398649207797,10.9,0.8,14.3,1096.9,,,,,,,,,,,,,,,,,,,24.29438028169014,10.666390796750141,15.0,2.6,37.1,172490.1,19.4039545876602,11.392938128536061,15.0,0.1,37.0,52992.199978900004
A4158,10.148591549295775,2.7680084538845597,10.2,0.2,15.7,2882.2,14.116666666666665,6.287580350712559,16.95,2.5,18.4,84.69999999999999,14.116666666666665,6.287580350712559,16.95,2.5,18.4,84.69999999999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.449849612199245,17.4507071379093,55.0,0.1,55.0,115576.59996845
A4173,9.044,6.0650945110996775,7.1,0.5,20.0,452.2,10.283333333333333,12.917959075127412,5.9,1.5,36.4,61.7,10.283333333333333,12.917959075127412,5.9,1.5,36.4,61.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,37.753271014906545,16.94009043533364,50.0,1.0,50.0,16158.39999438
A4174,8.849019607843138,6.441160533600125,7.1,0.1,20.0,451.3,6.25,2.950544743892945,6.0,1.5,9.7,50.0,6.25,2.950544743892945,6.0,1.5,9.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.19596082200734,15.438694256912319,50.0,0.1,50.0,32840.09999158
A4175,9.505194805194805,5.911738904032074,8.6,0.2,20.0,731.9,4.8,3.9102429592034307,5.5,0.5,10.3,24.0,4.8,3.9102429592034307,5.5,0.5,10.3,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.561107107721064,15.285445801779758,50.0,0.1,50.0,56420.49998684
A4176,9.465116279069768,6.02927695288211,8.350000000000001,0.2,20.0,814.0,5.42,3.8622532283629467,5.9,1.5,10.3,27.1,5.42,3.8622532283629467,5.9,1.5,10.3,27.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,39.86774906845756,15.761184883651408,50.0,0.1,50.0,54020.79998776
A4181,,,,,,,,,,,,,,,,,,,,,,,,,28.288471681527064,3.743228361419172,30.0,2.1,30.0,225261.1,29.515183405106857,9.933087520210943,35.0,0.1,35.0,92530.09997501
A4182,,,,,,,,,,,,,,,,,,,,,,,,,21.65774685938133,8.12198775636307,21.5,0.5,30.0,160332.3,23.077835401998616,10.325035971786832,20.0,0.1,35.0,66741.09998258
A4183,,,,,,,,,,,,,,,,,,,,,,,,,28.213470781684798,3.8305102829021918,30.0,2.1,30.0,223055.7,29.487785753164598,9.968729668595627,35.0,0.1,35.0,90291.59997619
A4184,,,,,,,,,,,,,,,,,,,,,,,,,28.269871072724996,3.7675222071372834,30.0,2.1,30.0,225848.0,29.6435519922528,9.868052716908895,35.0,0.1,35.0,92636.09997579
A4185,14.753333333333334,3.2396795843916117,14.0,10.1,20.7,221.3,,,,,,,,,,,,,,,,,,,51.16824334837405,7.411026647966911,55.0,2.5,55.0,328858.3,43.22978810799751,15.819748576155478,50.0,0.1,55.0,104054.09997595
A4195,,,,,,,19.417090069284065,2.6102245244916467,20.0,1.7,20.0,8407.6,19.417090069284065,2.6102245244916467,20.0,1.7,20.0,8407.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A4196,,,,,,,19.440363349131122,2.528569942641404,20.0,1.0,20.0,24611.5,19.440363349131122,2.528569942641404,20.0,1.0,20.0,24611.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A4197,,,,,,,19.389107611548557,2.696806212315558,20.0,0.2,20.0,29549.0,19.389107611548557,2.696806212315558,20.0,0.2,20.0,29549.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,52.09350482166559,15.629255651710348,60.0,0.8,60.0,81005.39999769
A4198,,,,,,,19.49190311418685,2.4364662757863704,20.0,0.8,20.0,28165.8,19.49190311418685,2.4364662757863704,20.0,0.8,20.0,28165.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,52.843279379662214,15.168998879913406,60.0,0.8,60.0,75090.2999985
A4202,13.25,7.068429267361478,13.7,0.9,20.0,185.5,7.966666666666666,2.1455380055672126,9.0,5.5,9.4,23.9,7.966666666666666,2.1455380055672126,9.0,5.5,9.4,23.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.81755049542298,14.970978714160234,50.0,0.1,50.0,64654.99998475
A4203,15.059701492537313,5.373477506755173,15.4,0.5,20.0,1009.0,19.271428571428572,13.664273890418801,9.4,8.2,40.0,134.9,19.271428571428572,13.664273890418801,9.4,8.2,40.0,134.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,39.199999989261606,15.794778626781573,50.0,0.1,50.0,55742.39998473
