,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11556,193.36701509872242,21.880452497937817,201.0,9.0,201.0,1331912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,87670.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11870,64.4388046081898,23.514474643475435,80.0,20.0,80.0,564935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23426485684955,6.583998977230335,4.8,4.8,19.5,80956.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11871,55.25857191741759,12.290786599756304,61.7,20.0,61.7,484451.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23426485684955,6.583998977230335,4.8,4.8,19.5,80956.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11872,61.141941371050535,16.94313962631335,70.2,27.0,73.0,536031.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.581932245922209,6.76912116723098,4.8,4.8,19.5,84004.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.4,2.4,2.4,7315.2
A11873,340.89506102429567,5.619072343959927,342.0,165.0,345.0,2988627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,1.5,13150.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11874,340.8993954602487,5.630245588652196,342.0,165.0,345.0,2988665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,1.5,13150.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11875,485.1158891296909,33.57751809275104,485.0,243.0,543.0,4253011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.568620964982321,0.9141606106783141,7.54,5.5,9.62,66354.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11876,470.6461731493099,40.462239672042394,474.0,223.0,529.0,4126155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.691493099121707,0.9761302413897824,7.56,5.56,9.8,67431.32,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11877,481.15045055321093,19.09154715262353,478.0,252.0,536.0,4218246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.358583323827991,0.9541260952421023,7.24,5.46,9.44,64512.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11878,476.85662142123874,31.65007449808401,477.0,228.0,538.0,4180602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.479682901790807,0.9651357699069969,7.42,5.48,9.66,65574.38,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
