Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A4830,46.355000000000004,5.989194436650065,46.355000000000004,42.12,50.59,44.2375,48.472500000000004
A5258,11.786744791666665,4.373693085211646,11.395,2.92,36.44,9.385,13.4275
A5259,12.372721088435373,3.989689195183162,12.0,4.36,38.64,10.42,14.1
A5260,11.657189014539581,4.124723371892519,11.61,2.92,53.48,9.434999999999999,13.274999999999999
A5261,11.347877758913413,3.0003911443419016,11.5,2.92,24.74,9.44,13.19
A5263,11.994563679245282,3.055646763151558,11.93,4.5,31.66,10.254999999999999,13.6725
A5264,13.399704944178628,5.0880422850401885,12.5,5.18,53.48,10.622499999999999,15.0
A5265,13.362043969102793,5.0431548343238966,12.48,3.86,64.22,10.5,15.0
A5315,19.35,,19.35,19.35,19.35,19.35,19.35
A5316,19.35,,19.35,19.35,19.35,19.35,19.35
A5321,20.542857142857144,1.8463271133587926,20.98,16.91,22.52,20.15,21.545
A5322,21.62857142857143,1.6387132001607099,20.9,19.54,23.49,20.515,23.22
A5323,18.915714285714284,3.703619208030875,18.51,15.24,25.53,16.115,20.45
A5325,23.38854166666667,8.005620363374861,21.97,13.64,63.23,18.6075,26.2525
A5326,24.957234042553193,10.15580465891897,22.4,13.64,64.22,19.049999999999997,28.21
A5327,25.42977272727273,10.81202915117003,22.634999999999998,13.64,64.22,19.185,28.45
A5328,25.448974358974358,11.377987472324703,21.81,13.64,64.22,18.845,28.54
A5329,24.762448979591834,10.638988151020332,21.73,13.64,64.22,17.06,28.36
A5330,26.76888888888889,11.358707757451635,23.8,13.64,64.22,19.4,30.43
A5331,26.057435897435898,11.103964611546045,23.21,13.64,64.22,19.895000000000003,29.575
A5332,25.302790697674418,9.256581011722313,24.06,13.64,64.22,19.15,28.845
A5343,14.689650768829816,5.129339230506574,13.5,7.66,53.48,11.7,15.88
A5347,28.665,0.43133513652379357,28.665,28.36,28.97,28.5125,28.8175
A5348,31.875999999999998,15.49530638612867,28.665,14.16,64.52,18.96,41.205
A5420,13.38794945159752,4.300073387614496,12.73,6.66,49.77,10.86,15.0
A5422,14.906838992750858,5.730912813142363,13.57,6.66,53.48,11.612499999999999,16.73
