Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A14871,4.447468513853905,4.211121953089951,3.12,0.18,38.12,2.0,5.245
A14872,4.28801912568306,4.303040959108059,3.02,0.18,38.12,1.5,5.0
A14873,4.240669065707051,3.405083389199455,3.13,1.0,36.31,2.39,4.6850000000000005
A15171,6.194333333333334,6.029818824597574,3.71,3.0,30.35,3.0,6.9125
A15172,7.1795,5.999779461758873,4.01,3.0,30.35,3.2875,9.99
A15484,7.412016806722689,4.059877069875534,6.285,2.4,36.31,4.6274999999999995,9.68
A15485,6.332126245847176,2.828997725463124,5.25,3.43,19.26,4.15,8.11
A15486,4.075857504604052,3.900207448762898,3.0,0.18,46.56,2.0,4.422499999999999
A15806,4.562660406885759,3.1868139592415425,3.51,0.55,32.99,2.8,5.62
A16012,7.606,2.2969936874096977,7.0,5.0,10.0,6.03,10.0
A16013,7.010000000000001,2.6401325724288927,6.03,5.0,10.0,5.515000000000001,8.015
A16114,7.830646551724138,2.7368729612708083,7.05,4.9,19.41,5.83,9.004999999999999
A16115,2.319961373390558,1.8217359803745796,2.17,0.18,22.65,1.0,3.0
A16118,3.7630499810677773,3.5862831834003948,3.0,0.18,46.56,1.46,4.19
A16120,3.3073508771929827,3.0520665863400054,2.96,0.21,32.07,1.46,3.53
A16456,16.158064516129034,10.709963404654205,12.22,3.05,46.56,10.3,17.72
A16457,15.7540625,10.780824332410315,11.845,3.05,46.56,9.8,16.78
A16458,16.158064516129034,10.709963404654205,12.22,3.05,46.56,10.3,17.72
A16792,12.417142857142856,6.6828896658342565,11.25,2.19,36.31,8.415,15.0
A17683,3.45,,3.45,3.45,3.45,3.45,3.45
A17707,2.6807070707070704,3.0212172111059163,2.2,0.18,44.87,1.0,3.08
A18021,4.984070247933884,4.194270587245198,3.2,2.5,44.87,3.0,4.935
A18022,5.698086522462563,5.635797828687142,3.48,2.5,46.56,3.0,5.76
A18596,5.493211009174312,2.916580720317387,4.72,2.4,25.18,3.2225,6.98
A18597,5.629770992366412,2.8866109112103335,4.73,2.4,25.18,3.72,6.9975000000000005
A18598,6.379440298507463,3.274109202718925,5.0,3.33,25.59,4.09,8.1425
A18599,6.346850393700787,3.310419937009152,5.0,3.16,25.59,4.08,7.8825
A18600,4.194694211867492,4.344667280340005,3.0,0.18,46.56,1.6025,4.89
A18601,4.30461071932299,3.5009972417153055,3.14,1.0,38.12,2.39,4.94
A18603,4.074724703372883,3.9049102961359123,3.0,0.18,46.56,2.0,4.25
A19218,29.72,,29.72,29.72,29.72,29.72,29.72
A19220,4.426386170906719,4.242317487018937,3.12,0.18,46.56,2.12,5.0
A19260,3.0861659192825113,4.063125642395529,2.3049999999999997,0.22,44.87,1.12,3.1275
A19262,3.1107048458149777,4.048513960178491,2.355,0.22,44.87,1.125,3.13
A19546,4.13515368852459,3.8094641611868902,3.08,0.18,44.87,2.25,4.25
A19547,3.9793994304944342,4.1364238578907875,3.0,0.18,36.31,1.02,4.99
A19893,4.729829721362229,3.213826688927721,3.61,0.55,30.63,3.0,5.3675
A19894,11.236451612903226,5.95463547632548,9.72,5.33,28.84,7.404999999999999,12.525
A19895,16.78222222222222,7.02728008261213,14.675,10.0,32.07,11.692499999999999,20.5
A19907,9.057894736842105,3.672009655153309,8.0,5.32,25.59,6.455,9.9975
A19911,2.8953846153846152,2.9750451407909075,0.7,0.21,7.29,0.5,5.25
A19912,3.9416458333333333,2.5805093627022746,3.15,0.55,30.35,3.0,4.0625
A20261,3.7604166666666665,1.6754287104011212,3.325,2.0,13.73,3.0175,3.87
A20263,3.258445692883895,2.0117535544486937,3.0,0.7,19.26,2.25,3.4775
A20264,3.204791666666667,1.6884324715525072,3.0,0.75,9.0,2.28,3.5
A3153,3.391911639762107,3.487569861150237,2.39,0.18,25.0,1.0,3.91
A3165,1.6849862258953168,1.7984094222634603,1.09,0.18,13.73,0.7,2.38
A3167,3.570009756097561,3.568165703732443,2.795,0.34,36.31,1.29,4.0
A3182,6.21,3.9456558390209353,6.21,3.42,9.0,4.8149999999999995,7.605
A3183,5.0275,2.74405265984456,4.055,3.0,9.0,3.315,5.7675
A3197,10.19,,10.19,10.19,10.19,10.19,10.19
A3385,7.657985865724382,5.436391544128894,7.0,1.0,38.12,3.98,9.425
A3386,9.149166666666666,9.445796457381753,3.385,2.07,44.87,3.09,14.2925
A3419,2.5596588089330026,2.152580368210218,2.25,0.32,22.42,1.0,3.13
A3420,3.183167514603354,2.763689875691744,2.66,0.32,36.31,1.29,3.67
A3455,3.5649543531507457,2.796824402903689,3.0,0.51,44.87,2.22,3.69
A3456,3.7111957434892187,2.955081081806231,3.0,0.67,36.31,2.25,3.785
A3457,5.673143722652306,4.007408317954584,4.0,3.0,46.56,3.21,7.0
A3458,5.42939700916546,3.8435973152184864,3.75,3.0,44.87,3.14,6.18
A3518,13.021428571428572,10.085030686916324,7.94,3.37,38.12,6.1975,17.1275
A3566,5.777721088435374,4.45154198174027,4.015,3.0,46.56,3.4025,7.0
A3606,3.199831223628692,2.9116392416628316,2.39,0.32,27.45,1.06,3.8425
A3607,2.882138899150351,2.7611313728537805,2.38,0.32,22.65,1.0,3.325
A3608,3.3249444444444447,3.2933003438980784,2.4,0.32,36.31,1.1,3.85
A3609,3.3893227091633467,3.0306098696787194,2.61,0.32,29.45,1.32,3.94
A3610,2.854575994781474,2.4446836081876415,2.4,0.32,36.31,1.01,3.35
A3624,13.6175,10.487831997128863,14.54,3.09,30.37,3.54,20.1725
A3625,20.707142857142856,6.798771247526313,17.34,14.08,28.76,15.0,27.384999999999998
A3626,25.791666666666668,8.277635934653484,28.675,14.08,35.61,20.1525,29.9675
A3627,24.46125,7.730914633562355,26.57,14.08,35.61,17.1025,29.1625
A3628,18.17,,18.17,18.17,18.17,18.17,18.17
A3635,18.586,12.856133166702964,18.47,2.4,36.31,5.9425,30.174999999999997
A3636,18.177500000000002,9.403366798272689,17.695,4.0,28.76,11.25,26.7825
A3637,19.20125,7.616848687519756,16.865000000000002,8.88,28.76,13.9075,26.7825
A3639,4.124349667271628,3.9068989469386324,3.0,0.55,46.56,2.0,4.5
A3644,9.074468085106384,4.609701871200631,8.77,4.0,30.35,5.75,11.225
A3646,6.473333333333334,2.827036139375182,7.0,3.42,9.0,5.21,8.0
A3647,5.455,3.0783274679604835,5.21,2.4,9.0,3.165,7.5
A3674,3.3600000000000003,3.7103715639888613,2.23,2.0,16.69,2.1,3.0
A3675,3.96,4.313822744001737,2.31,2.0,16.69,2.1500000000000004,3.005
A3676,16.69,,16.69,16.69,16.69,16.69,16.69
A3736,11.952499999999999,17.445328648858027,3.3,3.09,38.12,3.21,12.042499999999999
A3737,11.952499999999999,17.445328648858027,3.3,3.09,38.12,3.21,12.042499999999999
A3738,11.952499999999999,17.445328648858027,3.3,3.09,38.12,3.21,12.042499999999999
A3739,11.952499999999999,17.445328648858027,3.3,3.09,38.12,3.21,12.042499999999999
A3740,11.952499999999999,17.445328648858027,3.3,3.09,38.12,3.21,12.042499999999999
A3741,11.952499999999999,17.445328648858027,3.3,3.09,38.12,3.21,12.042499999999999
A3742,38.12,,38.12,38.12,38.12,38.12,38.12
A3743,11.952499999999999,17.445328648858027,3.3,3.09,38.12,3.21,12.042499999999999
A3756,8.836388888888889,3.750712048800317,7.445,5.04,22.42,6.4125,10.0
A3757,6.604492753623188,3.441502978877569,5.36,3.67,22.42,4.0,7.6
A3763,3.42022137150466,3.0525376029584987,3.0,0.5,38.12,1.55,3.73
A3764,3.3351713508612875,3.2457094726127567,2.86,0.5,36.31,1.275,3.57
A3787,10.051111111111112,6.198715605353654,9.015,4.0,29.72,5.1499999999999995,12.4975
A3788,11.19701754385965,6.6824345875993325,9.83,4.03,30.35,6.03,13.78
A3789,8.076950354609929,4.242999098222593,7.0,4.0,30.35,4.71,10.0
