Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A3855,0.6578467153284672,0.4744576783150205,1.0,0.0,1.0,0.0,1.0
A3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3916,20.0,0.0,20.0,20.0,20.0,20.0,20.0
A3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
