Time_Period,pIES_MW,pGridSale_MW,pGridPurchase_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_per_hr,qSteam_Electrolyzer_MWth,H2_storage_level_kg,H2_to_storage_kg_per_hr,H2_from_storage_kg_per_hr,H2_to_market_kg_per_hr,BatterySOC_MWh,BatteryCharge_MW,BatteryDischarge_MW,Energy_Revenue_USD,H2_Revenue_USD,AS_Revenue_USD
7723,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11382.016531454028,4979.674796747968,4716.406363967935,4716.406363967935,7.28260869565225,0.0,0.0,2573.1148223862033,14149.219091903806,820.6676724425172
7724,718.0930758735942,718.0930758735942,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11449.438277197714,4979.674796747968,4716.406363967935,4716.406363967935,5.817391304347875,0.0,1.3480000000000039,3317.590010536005,14149.219091903806,745.5687691594277
7725,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11516.8600229414,4979.674796747968,4716.406363967935,4716.406363967935,3.1,0.0,2.5,3545.8782240568194,14149.219091903806,729.0188292843857
7726,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11584.281768685087,4979.674796747968,4716.406363967935,4716.406363967935,5.4,2.5,0.0,0.0,14149.219091903806,548.3497108698846
7727,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11651.703514428773,4979.674796747968,4716.406363967935,4716.406363967935,7.7,2.5,0.0,282.12680497006977,14149.219091903806,562.5225697570105
7728,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11719.12526017246,4979.674796747968,4716.406363967935,4716.406363967935,10.0,2.5,0.0,1399.9203487122447,14149.219091903806,546.0903520696635
7729,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11786.547005916145,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,2386.761102659069,14149.219091903806,712.3140460329404
7730,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11853.968751659831,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,4608.670837867211,14149.219091903806,775.5392521701103
7731,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11921.390497403518,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,4329.1402582765095,14149.219091903806,803.2866745348604
7732,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,11988.812243147204,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,4662.426718557731,14149.219091903806,662.6017658935177
7733,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12056.23398889089,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,8418.170916135365,14149.219091903806,1044.5721025068724
7734,718.4770758735942,718.4770758735942,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12123.655734634576,4979.674796747968,4716.406363967935,4716.406363967935,8.117391304347825,0.0,1.7320000000000013,14179.145092365381,14149.219091903806,1216.4201166145256
7735,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12191.077480378262,4979.674796747968,4716.406363967935,4716.406363967935,5.4,0.0,2.5,21102.650526131256,14149.219091903806,1776.593012749278
7736,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12258.499226121949,4979.674796747968,4716.406363967935,4716.406363967935,7.7,2.5,0.0,8538.799882068819,14149.219091903806,669.4691666309398
7737,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12325.920971865635,4979.674796747968,4716.406363967935,4716.406363967935,7.7,0.0,0.0,13446.13762338863,14149.219091903806,891.4966343629565
