HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,ThirtyMin_Turbine_MW,ThirtyMin_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,Total_30Min_MW,EnergyPrice_LMP_USDperMWh,p_Reg_MISO,deploy_factor_Reg_MISO,loc_Reg_MISO,p_Spin_MISO,deploy_factor_Spin_MISO,loc_Spin_MISO,p_Sup_MISO,deploy_factor_Sup_MISO,loc_Sup_MISO,p_STR_MISO,deploy_factor_STR_MISO,loc_STR_MISO,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
26,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.486,4.0539,0.6764,0.2457,11.0011,0.9235,-0.3184,8.0507,0.9893,-0.1036,3.4329,0.9173,0.0208,0.0,0.0,5124.68,0.0,-0.1555,5124.5245,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4364.5245
27,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5874,10.545,0.6589,-0.2927,8.6751,0.9144,0.0677,3.0,0.9628,0.1302,4.8604,0.9097,-0.1095,0.0,0.0,2123.212,0.0,-0.2043,2123.0077,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1363.0077
28,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222,11.4685,0.7131,0.2514,4.5449,0.9162,0.5154,9.313,0.8874,0.1826,3.0,0.9255,0.6069,0.0,0.0,4644.36,0.0,1.5563,4645.9163,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3885.9163
29,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9998,10.909,0.7022,-0.3005,7.4464,0.968,-0.2181,5.7047,0.9291,-0.5504,7.2119,0.9464,-0.4603,0.0,0.0,2659.924,0.0,-1.5293,2658.3947,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1898.3947
30,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8855,11.4321,0.7376,-0.0889,11.0336,0.9245,0.074,8.2483,0.9037,-0.3214,6.8636,0.9427,0.0764,0.0,0.0,3376.49,0.0,-0.2599,3376.2301,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2616.2301
31,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3347,5.2509,0.7309,-0.0603,3.0,0.9251,-0.0981,4.6519,0.8973,0.0123,11.0574,0.9169,0.1947,0.0,0.0,3167.186,0.0,0.0486,3167.2346,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2407.2346
32,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.194,3.6877,0.7271,0.1761,10.695,0.9357,0.2218,5.3337,0.8626,-0.6597,11.6189,0.8955,0.0581,0.0,0.0,8433.72,0.0,-0.2037,8433.5163,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7673.5163
33,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9365,11.7518,0.6866,0.4681,10.8809,0.9035,0.044,15.4815,0.8561,-0.3833,6.9591,0.8665,0.0919,0.0,0.0,5675.87,0.0,0.2207,5676.0907,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4916.0907
34,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1275,9.5357,0.7237,-0.0866,9.2899,0.8963,-0.1125,10.9284,0.8551,0.2592,6.7401,0.8427,0.1086,0.0,0.0,4608.45,0.0,0.1687,4608.6187,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3848.6187
35,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1172,10.5337,0.7123,-0.0046,5.1268,0.9017,-0.185,10.1544,0.8524,0.1118,11.7997,0.8516,0.1702,0.0,0.0,9164.536,0.0,0.0924,9164.6284,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8404.6284
36,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4887,5.0488,0.7141,-0.4274,3.5488,0.8686,0.1151,6.0243,0.8789,0.0639,5.0419,0.8527,-0.1328,0.0,0.0,6265.706,0.0,-0.3812,6265.3248,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5505.3248
37,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0493,8.8476,0.7676,-0.0102,10.5971,0.869,-0.0985,15.88,0.8859,0.283,3.0,0.839,0.2583,0.0,0.0,9898.734,0.0,0.4326,9899.1666,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9139.1666
38,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.278,8.126,0.7618,0.2887,7.6466,0.8334,0.6128,18.8844,0.9489,0.3405,5.1237,0.8436,0.155,0.0,0.0,6565.64,0.0,1.397,6567.037,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5807.037
39,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0249,8.0446,0.754,0.5907,12.2379,0.8942,0.0459,5.2337,0.9192,0.3187,3.0,0.8691,-0.0547,0.0,0.0,8369.462,0.0,0.9006,8370.3626,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7610.3626
40,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6494,6.9393,0.7747,-0.0898,14.0669,0.8409,0.1215,10.4378,0.9087,-0.0404,7.7411,0.8692,0.1843,0.0,0.0,11646.772,0.0,0.1756,11646.9476,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10886.9476
41,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6985,4.6176,0.7803,0.1792,8.3321,0.8442,-0.4546,9.5667,0.9513,-0.4528,3.0,0.8238,0.1569,0.0,0.0,12805.43,0.0,-0.5713,12804.8587,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12044.8587
42,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5226,7.1706,0.7471,0.2894,3.0,0.8026,0.0427,10.8001,0.8821,-0.2649,5.7694,0.8547,0.2238,0.0,0.0,11598.588,0.0,0.291,11598.879,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10838.879
