HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,EnergyPrice_LMP_USDperMWh,p_RegU_CAISO,deploy_factor_RegU_CAISO,loc_RegU_CAISO,mileage_factor_RegU_CAISO,p_RegD_CAISO,deploy_factor_RegD_CAISO,loc_RegD_CAISO,mileage_factor_RegD_CAISO,p_Spin_CAISO,deploy_factor_Spin_CAISO,loc_Spin_CAISO,p_NSpin_CAISO,deploy_factor_NSpin_CAISO,loc_NSpin_CAISO,p_RMU_CAISO,deploy_factor_RMU_CAISO,loc_RMU_CAISO,p_RMD_CAISO,deploy_factor_RMD_CAISO,loc_RMD_CAISO,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
6156,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2299,10.7626,0.6741,-0.3097,1.0006,12.4183,0.5914,-0.0794,0.997,13.0239,0.8937,-0.0408,14.0211,0.9254,-0.0366,4.6425,0.7072,-0.3323,1.8364,0.7324,0.5852,0.0,0.0,16807.362,0.0,-0.4665,16806.8955,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,16046.8955
6157,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5963,9.4287,0.5956,-0.0992,1.0141,12.4191,0.4952,0.1265,1.0151,10.7401,0.9274,0.2139,15.8108,0.9107,-0.0483,3.1429,0.7045,0.4996,1.5255,0.7592,-0.3226,0.0,0.0,16566.594,0.0,0.1929,16566.7869,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,15806.7869
6158,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8597,8.0354,0.4064,0.2712,1.0223,6.9625,0.6119,0.1328,1.002,13.5559,0.9108,0.2287,15.1538,0.9296,0.1877,1.8307,0.7142,-0.1637,4.4487,0.7072,-0.0389,0.0,0.0,15906.686,0.0,0.8204,15907.5064,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,15147.5064
6159,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4906,8.9124,0.6635,0.05,1.0229,7.9028,0.6911,0.1022,1.0034,6.1633,0.9343,0.2354,19.3261,0.9669,-0.0884,3.6415,0.6903,-0.2422,4.6618,0.6849,0.1911,0.0,0.0,18426.428,0.0,0.2992,18426.7272,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,17666.7272
6160,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1943,9.3675,0.6562,-0.1707,1.0353,11.881,0.739,-0.2874,0.989,7.0201,0.913,0.1394,12.4916,0.9512,0.0043,4.1008,0.6617,0.0126,3.2945,0.6095,0.2445,0.0,0.0,15653.834,0.0,-0.3144,15653.5196,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,14893.5196
6161,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.065,15.5736,0.6031,-0.1919,1.0393,8.9691,0.8655,0.0026,1.002,25.8638,0.9363,-0.0302,16.4945,0.9268,-0.3632,3.9491,0.6889,-0.0928,2.2508,0.6739,-0.598,0.0,0.0,19024.7,0.0,-0.5827,19024.1173,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,18264.1173
6162,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3544,13.6962,0.5625,0.2508,1.0308,14.5409,0.8253,0.2361,1.0046,13.7508,0.923,0.0998,19.1405,0.9146,-0.2541,4.0625,0.7666,-0.5295,4.3304,0.6435,-0.5348,0.0,0.0,20274.672,0.0,0.3326,20275.0046,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,19515.0046
6163,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7315,12.3405,0.5664,-0.1228,1.0304,15.925,0.4883,-0.5441,0.9887,15.74,0.9306,0.0484,13.4714,0.916,0.3594,3.5096,0.7988,-0.0189,1.6013,0.6886,-0.1168,0.0,0.0,15857.97,0.0,-0.2591,15857.7109,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,15097.7109
6164,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7254,7.0417,0.7807,0.0552,1.0372,8.2492,0.8004,0.3042,0.9928,5.2796,0.92,-0.2412,12.0839,0.943,-0.1615,2.2048,0.8175,-0.0686,1.3745,0.7005,0.2742,0.0,0.0,14715.652,0.0,-0.0433,14715.6087,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,13955.6087
6165,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2038,13.3877,0.7623,-0.1032,1.0313,11.8933,0.6908,0.2155,0.9982,11.4899,0.8965,0.0223,14.5084,0.9097,-0.2177,3.5783,0.8099,0.1567,2.642,0.7023,0.0146,0.0,0.0,19837.444,0.0,-0.0831,19837.3609,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,19077.3609
